source,last_updated,indicator,period,consumer_price_index_and_inflation
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-09,7.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-08,7.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-07,7.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-06,7.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-05,7.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-04,8.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-03,9.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-02,9.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-01,10.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-12,11.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-11,11.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-10,11.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-09,12.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-08,12.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-07,11.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-06,12.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-05,12.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-04,13.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-03,12.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-02,13.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-01,13.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-12,15.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-11,15.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-10,15.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-09,17.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-08,16.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-07,16.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-06,18.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-05,18.9
