category,title,price_ghs,condition,tags,region,area,location,price_outlier_flag,url,source,scraped_date
Vehicles,Honda Accord 2020 Gray,245000.0,Foreign Used,"Foreign Used, Automatic",Greater Accra,Madina,"Greater Accra, Madina",True,https://tonaton.com/a-MfYFNdCgYRNqMK2UsL86frkNV7vwj9Hg-honda-accord-2020-gray.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,2012 Civic Back Cut,18000.0,Used,Used,Greater Accra,Adenta,"Greater Accra, Adenta",False,https://tonaton.com/a-MfYFNdCgz5CJm5QtutzxuBP3ai039nFX-2012-civic-back-cut.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Spare Tyre Rims Available,300.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgAElc0wCNwnPk7Xjr5T6foGVF-spare-tyre-rims-available.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Hyundai Elantra 2017 Headlight,1000.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-LuubBC0gpugxCF5QJVfEx8kAWM16TPO-hyundai-elantra-2017-headlight.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Hyundai Elantra Spec Sports Bumper Complete,14000.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCh3IqzQyvHWERc53BMAjPKPH6R-hyundai-elantra-spec-sports-bumper-complete.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,High Pressure Rechargeable Washing Gun With Two Batteries,500.0,Brand New,Brand New,Greater Accra,Awoshie,"Greater Accra, Awoshie",False,https://tonaton.com/a-MfYFNdCgs9CkKioz1PlAn42V6hrLbbbv-high-pressure-rechargeable-washing-gun-with-two-batteries.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Home Used and New Tyres Available in All Sizes,100.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgdTUcbhIwKAOgrzzYIeExuJcq-home-used-and-new-tyres-available-in-all-sizes.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Boliden Car Battery,850.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgzfsvNwhya1gGJbBXjCbwje7K-boliden-car-battery.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Bluetooth Car Tape,160.0,Brand New,Brand New,Greater Accra,Adenta,"Greater Accra, Adenta",False,https://tonaton.com/a-MfYFNdCgPpgVWYrITgfG9pPsY4A9w26L-bluetooth-car-tape.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Honda Civic 2016-2021 Rear Bumper Reflector Cover Bezels,700.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgCE0cPFowcGbAulNgXiVE7cjZ-honda-civic-2016-2021-rear-bumper-reflector-cover-bezels.html,Tonaton Ghana (tonaton.com),2026-04-20
